application_1476400932699_0514,5,86
application_1476400932699_0515,5,89
application_1476400932699_0516,31,55
application_1476400932699_0517,25,91
application_1476400932699_0518,48,57
application_1476400932699_0519,52,98
application_1476400932699_0520,55,109
application_1476400932699_0521,48,91
application_1476400932699_0522,24,117
application_1476400932699_0523,19,112
application_1476400932699_0524,13,117
application_1476400932699_0525,85,39
application_1476400932699_0526,60,66
application_1476400932699_0527,84,54
application_1476400932699_0528,53,63
application_1476400932699_0529,73,45
application_1476400932699_0530,36,58
application_1476400932699_0531,39,45
application_1476400932699_0532,32,38
application_1476400932699_0533,22,69
application_1476400932699_0534,35,37
application_1476400932699_0535,14,76
application_1476400932699_0536,21,57
application_1476400932699_0537,6,51
application_1476400932699_0538,7,63
application_1476400932699_0539,17,58
application_1476400932699_0540,8,81
application_1476400932699_0541,36,46
application_1476400932699_0542,20,76
application_1476400932699_0543,30,59
application_1476400932699_0544,17,75
application_1476400932699_0545,15,79
application_1476400932699_0546,24,60
application_1476400932699_0547,43,64
application_1476400932699_0548,6,83
application_1476400932699_0549,45,42
application_1476400932699_0550,8,72
application_1476400932699_0551,12,84
application_1476400932699_0552,32,55
application_1476400932699_0553,13,77
application_1476400932699_0554,10,92
application_1476400932699_0555,16,64
application_1476400932699_0556,12,58
application_1476400932699_0557,8,124
application_1476400932699_0558,13,72
application_1476400932699_0559,22,78
application_1476400932699_0560,12,82
application_1476400932699_0562,10,90
application_1476400932699_0563,12,77
application_1476400932699_0561,19,63
application_1476400932699_0564,12,86
application_1476400932699_0565,39,57
application_1476400932699_0566,10,59
application_1476400932699_0567,42,54
application_1476400932699_0569,30,62
application_1476400932699_0568,30,68
application_1476400932699_0570,13,71
application_1476400932699_0571,14,66
application_1476400932699_0572,16,67
application_1476400932699_0574,68,53
application_1476400932699_0573,18,64
application_1476400932699_0575,40,71
application_1476400932699_0576,25,93
application_1476400932699_0577,40,60
application_1476400932699_0578,91,45
application_1476400932699_0581,42,64
application_1476400932699_0580,22,58
application_1476400932699_0579,13,58
application_1476400932699_0582,31,70
application_1476400932699_0584,21,68
application_1476400932699_0585,14,61
application_1476400932699_0583,19,75
application_1476400932699_0586,16,73
application_1476400932699_0588,20,64
application_1476400932699_0587,55,40
application_1476400932699_0589,34,45
application_1476400932699_0590,32,44
application_1476400932699_0592,21,60
application_1476400932699_0591,43,64
application_1476400932699_0593,28,63
application_1476400932699_0595,24,53
application_1476400932699_0600,33,70
application_1476400932699_0594,8,63
application_1476400932699_0596,7,53
application_1476400932699_0598,7,59
application_1476400932699_0601,36,60
application_1476400932699_0602,46,45
application_1476400932699_0597,48,53
application_1476400932699_0603,29,43
application_1476400932699_0599,37,39
application_1476400932699_0605,45,52
application_1476400932699_0606,41,79
application_1476400932699_0604,34,66
application_1476400932699_0607,23,62
application_1476400932699_0608,31,75
application_1476400932699_0609,48,39
application_1476400932699_0610,8,81
application_1476400932699_0611,39,50
application_1476400932699_0612,34,63
application_1476400932699_0613,40,54
application_1476400932699_0614,28,41
application_1476400932699_0615,25,79
application_1476400932699_0616,11,72
application_1476400932699_0617,9,77
application_1476400932699_0618,8,68
application_1476400932699_0619,7,53
application_1476400932699_0620,7,59
application_1476400932699_0621,8,49
application_1476400932699_0622,12,83
application_1476400932699_0623,8,63
application_1476400932699_0624,10,71
application_1476400932699_0625,10,71
application_1476400932699_0626,7,64
application_1476400932699_0627,13,50
application_1476400932699_0628,10,121
application_1476400932699_0629,10,60
application_1476400932699_0630,9,71
application_1476400932699_0631,10,56
application_1476400932699_0632,17,109
application_1476400932699_0633,30,68
application_1476400932699_0634,23,74
application_1476400932699_0635,15,75
application_1476400932699_0636,15,65
application_1476400932699_0637,25,71
application_1476400932699_0638,39,66
application_1476400932699_0639,38,44
application_1476400932699_0640,38,73
application_1476400932699_0641,35,73
application_1476400932699_0642,9,88
application_1476400932699_0643,12,67
application_1476400932699_0644,39,73
application_1476400932699_0645,38,82
application_1476400932699_0647,38,60
application_1476400932699_0646,21,56
application_1476400932699_0649,33,72
application_1476400932699_0648,55,56
application_1476400932699_0650,69,60
application_1476400932699_0651,20,91
application_1476400932699_0652,11,94
application_1476400932699_0654,33,86
application_1476400932699_0653,12,90
application_1476400932699_0655,45,50
application_1476400932699_0659,34,70
application_1476400932699_0658,46,72
application_1476400932699_0661,20,76
application_1476400932699_0656,56,65
application_1476400932699_0657,35,64
application_1476400932699_0660,57,54
application_1476400932699_0662,53,58
application_1476400932699_0664,57,59
