application_1488937959984_0001,pagerank1,SUCCEEDED,8,425
application_1488937959984_0002,pagerank2,SUCCEEDED,7,964
application_1488937959984_0003,kmeans1,SUCCEEDED,7,384
application_1488937959984_0004,kmeans1,SUCCEEDED,7,624
application_1488937959984_0005,pagerank2,SUCCEEDED,9,504
application_1488937959984_0006,kmeans1,SUCCEEDED,8,691
application_1488937959984_0007,kmeans1,SUCCEEDED,6,727
application_1488937959984_0008,kmeans1,SUCCEEDED,7,734
application_1488937959984_0009,kmeans1,SUCCEEDED,266,582
application_1488937959984_0010,kmeans1,SUCCEEDED,167,585
application_1488937959984_0011,kmeans1,SUCCEEDED,146,591
application_1488937959984_0012,pagerank2,SUCCEEDED,65,1025
application_1488937959984_0013,pagerank2,SUCCEEDED,53,1152
application_1488937959984_0014,kmeans1,SUCCEEDED,289,624
application_1488937959984_0015,kmeans1,SUCCEEDED,210,573
application_1488937959984_0016,kmeans1,SUCCEEDED,65,912
application_1488937959984_0017,pagerank1,SUCCEEDED,15,1076
application_1488937959984_0018,pagerank2,SUCCEEDED,127,1116
application_1488937959984_0019,pagerank2,SUCCEEDED,359,681
application_1488937959984_0020,kmeans1,SUCCEEDED,99,619
application_1488937959984_0021,kmeans1,SUCCEEDED,41,858
application_1488937959984_0022,pagerank2,SUCCEEDED,62,731
application_1488937959984_0023,kmeans1,SUCCEEDED,21,592
application_1488937959984_0024,kmeans1,SUCCEEDED,6,405
application_1488937959984_0025,pagerank1,SUCCEEDED,6,621
application_1488937959984_0026,kmeans1,SUCCEEDED,7,579
application_1488937959984_0027,kmeans1,SUCCEEDED,60,346
application_1488937959984_0028,kmeans1,SUCCEEDED,8,422
application_1488937959984_0029,pagerank2,SUCCEEDED,6,502
application_1488937959984_0030,kmeans1,SUCCEEDED,7,349
application_1488937959984_0031,pagerank2,SUCCEEDED,7,937
application_1488937959984_0032,pagerank2,SUCCEEDED,7,959
application_1488937959984_0033,pagerank1,SUCCEEDED,6,580
application_1488937959984_0034,pagerank2,SUCCEEDED,7,996
application_1488937959984_0035,pagerank3,FAILED,4870,29
application_1488937959984_0036,kmeans1,SUCCEEDED,238,644
application_1488937959984_0037,kmeans1,SUCCEEDED,203,637
application_1488937959984_0038,kmeans1,SUCCEEDED,143,829
application_1488937959984_0039,kmeans1,SUCCEEDED,101,764
application_1488937959984_0040,pagerank2,SUCCEEDED,52,1749
application_1488937959984_0041,kmeans1,SUCCEEDED,312,570
application_1488937959984_0042,kmeans1,SUCCEEDED,246,693
application_1488937959984_0043,pagerank2,SUCCEEDED,102,999
application_1488937959984_0044,pagerank1,SUCCEEDED,96,810
application_1488937959984_0045,kmeans1,SUCCEEDED,93,1168
application_1488937959984_0046,kmeans1,SUCCEEDED,504,414
application_1488937959984_0047,pagerank2,SUCCEEDED,434,1209
application_1488937959984_0048,kmeans1,SUCCEEDED,46,679
application_1488937959984_0049,kmeans1,SUCCEEDED,21,609
application_1488937959984_0050,pagerank3,SUCCEEDED,8,4513
application_1488937959984_0051,pagerank2,SUCCEEDED,97,1553
application_1488937959984_0052,kmeans1,SUCCEEDED,74,1398
application_1488937959984_0053,pagerank1,SUCCEEDED,1021,777
application_1488937959984_0054,pagerank2,SUCCEEDED,949,1281
application_1488937959984_0055,kmeans1,SUCCEEDED,860,1583
application_1488937959984_0056,kmeans1,SUCCEEDED,825,1201
application_1488937959984_0057,pagerank2,SUCCEEDED,518,2493
application_1488937959984_0058,kmeans1,SUCCEEDED,455,1845
application_1488937959984_0059,kmeans1,SUCCEEDED,133,1923
application_1488937959984_0060,kmeans1,SUCCEEDED,1432,804
application_1488937959984_0061,pagerank2,SUCCEEDED,1122,1560
application_1488937959984_0062,pagerank3,SUCCEEDED,1116,6676
application_1488937959984_0063,kmeans1,SUCCEEDED,1067,1327
application_1488937959984_0064,kmeans1,SUCCEEDED,1033,1660
application_1488937959984_0065,kmeans1,SUCCEEDED,923,1916
application_1488937959984_0066,kmeans1,SUCCEEDED,829,2027
application_1488937959984_0067,kmeans1,SUCCEEDED,721,2200
application_1488937959984_0068,pagerank2,SUCCEEDED,546,2419
application_1488937959984_0069,pagerank1,SUCCEEDED,545,2346
application_1488937959984_0070,kmeans1,SUCCEEDED,525,2667
application_1488937959984_0071,pagerank2,SUCCEEDED,516,3499
application_1488937959984_0072,kmeans1,SUCCEEDED,485,2787
application_1488937959984_0073,kmeans1,SUCCEEDED,475,2771
application_1488937959984_0074,pagerank2,SUCCEEDED,443,3286
application_1488937959984_0075,pagerank2,SUCCEEDED,414,3948
application_1488937959984_0076,pagerank1,SUCCEEDED,381,3837
application_1488937959984_0077,kmeans1,SUCCEEDED,386,4199
application_1488937959984_0078,pagerank1,SUCCEEDED,383,4269
application_1488937959984_0079,kmeans1,SUCCEEDED,224,4559
application_1488937959984_0080,pagerank2,SUCCEEDED,123,5075
application_1488937959984_0081,pagerank1,SUCCEEDED,121,4700
application_1488937959984_0082,kmeans1,SUCCEEDED,30,4893
application_1488937959984_0083,pagerank2,SUCCEEDED,4144,1614
application_1488937959984_0084,pagerank1,SUCCEEDED,4140,1145
application_1488937959984_0085,pagerank2,SUCCEEDED,4137,1703
application_1488937959984_0086,pagerank1,SUCCEEDED,4134,1956
application_1488937959984_0087,kmeans1,SUCCEEDED,4069,1948
application_1488937959984_0088,kmeans1,SUCCEEDED,4031,1956
application_1488937959984_0089,pagerank2,SUCCEEDED,3972,2620
application_1488937959984_0090,kmeans1,SUCCEEDED,3917,2322
application_1488937959984_0091,pagerank1,SUCCEEDED,3407,2310
application_1488937959984_0092,pagerank2,SUCCEEDED,3247,2850
application_1488937959984_0093,kmeans1,SUCCEEDED,3026,2729
application_1488937959984_0094,kmeans1,SUCCEEDED,2779,2717
application_1488937959984_0095,pagerank1,SUCCEEDED,2763,2960
application_1488937959984_0096,pagerank2,SUCCEEDED,2678,3780
application_1488937959984_0097,kmeans1,SUCCEEDED,2634,3279
application_1488937959984_0098,kmeans1,SUCCEEDED,2544,3212
