application_1473885681002_0320,6,887
application_1473885681002_0321,5,831
application_1473885681002_0322,6,858
application_1473885681002_0323,5,6
application_1473885681002_0324,5,832
application_1473885681002_0325,6,801
application_1473885681002_0326,7,860
application_1473885681002_0327,6,807
application_1473885681002_0328,5,696
application_1473885681002_0329,6,757
application_1473885681002_0330,5,5
application_1473885681002_0331,6,722
application_1473885681002_0332,5,970
application_1473885681002_0333,6,1216
application_1473885681002_0334,7,1190
