application_1487809207946_0001,SUCCEEDED,7,33
application_1487809207946_0002,SUCCEEDED,6,35
application_1487809207946_0003,SUCCEEDED,6,36
application_1487809207946_0004,SUCCEEDED,7,20
application_1487809207946_0005,SUCCEEDED,6,10
application_1487809207946_0006,SUCCEEDED,7,28
application_1487809207946_0007,SUCCEEDED,5,30
application_1487809207946_0008,SUCCEEDED,5,39
application_1487809207946_0009,SUCCEEDED,4,35
application_1487809207946_0010,SUCCEEDED,5,30
application_1487809207946_0011,SUCCEEDED,5,10
application_1487809207946_0012,SUCCEEDED,5,29
application_1487809207946_0013,SUCCEEDED,4,32
application_1487809207946_0014,SUCCEEDED,5,28
application_1487809207946_0015,SUCCEEDED,5,33
application_1487809207946_0016,SUCCEEDED,6,27
application_1487809207946_0017,SUCCEEDED,5,33
application_1487809207946_0018,SUCCEEDED,5,32
application_1487809207946_0019,SUCCEEDED,4,10
application_1487809207946_0020,SUCCEEDED,5,36
application_1487809207946_0021,SUCCEEDED,5,36
application_1487809207946_0022,SUCCEEDED,4,35
application_1487809207946_0023,SUCCEEDED,6,33
application_1487809207946_0024,SUCCEEDED,6,36
application_1487809207946_0025,SUCCEEDED,4,39
application_1487809207946_0026,SUCCEEDED,6,32
application_1487809207946_0027,SUCCEEDED,6,31
application_1487809207946_0028,SUCCEEDED,5,35
application_1487809207946_0029,SUCCEEDED,5,10
application_1487809207946_0030,SUCCEEDED,4,34
application_1487809207946_0031,SUCCEEDED,6,34
application_1487809207946_0032,SUCCEEDED,6,31
application_1487809207946_0033,SUCCEEDED,6,37
application_1487809207946_0034,SUCCEEDED,5,34
application_1487809207946_0035,SUCCEEDED,5,32
application_1487809207946_0036,SUCCEEDED,6,22
application_1487809207946_0037,SUCCEEDED,4,35
application_1487809207946_0038,SUCCEEDED,4,31
application_1487809207946_0039,SUCCEEDED,5,21
application_1487809207946_0040,SUCCEEDED,6,36
application_1487809207946_0041,SUCCEEDED,6,33
application_1487809207946_0042,SUCCEEDED,6,29
application_1487809207946_0043,SUCCEEDED,5,30
application_1487809207946_0044,SUCCEEDED,4,20
application_1487809207946_0045,SUCCEEDED,6,38
application_1487809207946_0046,SUCCEEDED,4,23
application_1487809207946_0047,SUCCEEDED,5,28
application_1487809207946_0048,SUCCEEDED,6,29
application_1487809207946_0049,SUCCEEDED,4,30
application_1487809207946_0050,SUCCEEDED,6,27
application_1487809207946_0051,SUCCEEDED,6,37
application_1487809207946_0052,SUCCEEDED,5,31
application_1487809207946_0053,SUCCEEDED,4,35
application_1487809207946_0054,SUCCEEDED,4,40
application_1487809207946_0055,SUCCEEDED,4,36
application_1487809207946_0057,SUCCEEDED,6,31
application_1487809207946_0056,SUCCEEDED,6,36
application_1487809207946_0058,SUCCEEDED,5,9
application_1487809207946_0059,SUCCEEDED,5,35
application_1487809207946_0060,SUCCEEDED,4,30
application_1487809207946_0061,SUCCEEDED,5,31
application_1487809207946_0062,SUCCEEDED,4,9
application_1487809207946_0063,SUCCEEDED,6,29
application_1487809207946_0064,SUCCEEDED,5,30
application_1487809207946_0065,SUCCEEDED,4,54
application_1487809207946_0066,SUCCEEDED,5,8
application_1487809207946_0067,SUCCEEDED,4,34
application_1487809207946_0068,SUCCEEDED,5,34
application_1487809207946_0070,SUCCEEDED,5,57
application_1487809207946_0069,SUCCEEDED,5,31
application_1487809207946_0071,SUCCEEDED,6,47
application_1487809207946_0072,SUCCEEDED,6,19
application_1487809207946_0073,SUCCEEDED,5,29
application_1487809207946_0074,SUCCEEDED,6,30
application_1487809207946_0075,SUCCEEDED,4,37
application_1487809207946_0076,SUCCEEDED,4,39
application_1487809207946_0077,SUCCEEDED,5,32
application_1487809207946_0078,SUCCEEDED,4,32
application_1487809207946_0079,SUCCEEDED,5,33
application_1487809207946_0080,SUCCEEDED,5,37
application_1487809207946_0081,SUCCEEDED,5,16
application_1487809207946_0082,SUCCEEDED,6,35
application_1487809207946_0083,SUCCEEDED,4,44
application_1487809207946_0084,SUCCEEDED,4,41
application_1487809207946_0085,SUCCEEDED,5,11
application_1487809207946_0086,SUCCEEDED,5,41
application_1487809207946_0087,SUCCEEDED,4,30
application_1487809207946_0088,SUCCEEDED,6,33
application_1487809207946_0089,SUCCEEDED,4,38
application_1487809207946_0090,SUCCEEDED,4,39
application_1487809207946_0091,SUCCEEDED,5,37
