application_1474411034718_0001,8,814
application_1474411034718_0002,8,720
application_1474411034718_0003,7,715
application_1474411034718_0004,6,1010
application_1474411034718_0005,7,673
application_1474411034718_0006,8,799
application_1474411034718_0007,7,902
application_1474411034718_0008,8,808
application_1474411034718_0009,11,727
application_1474411034718_0010,8,1084
application_1474411034718_0011,7,1392
application_1474411034718_0012,6,1078
application_1474411034718_0013,7,1269
application_1474411034718_0014,10,1289
application_1474411034718_0015,9,1274
